image_id,ground_truth,prediction,density_sum,confidence_score,local_variance,correlation_score,high_density_peaks,medium_density_peaks,low_density_peaks,total_unique_peaks,error,squared_error
288.jpg,88,50.648990631103516,50.648990631103516,0.70816654,0.0022715742,0.4186046511627907,36,36,86,86,37.351009368896484,1395.097900875393
455.jpg,15,14.304441452026367,14.304441452026367,0.5811208,0.0065084784,0.16875,10,12,64,64,0.6955585479736328,0.48380169365918846
438.jpg,50,37.1872444152832,37.1872444152832,0.9293445,0.007977749,0.8666666666666667,13,13,15,15,12.812755584716797,164.16670567369147
036.jpg,6,1.1304569244384766,1.1304569244384766,0.4220182,0.21429697,0.05833333333333335,1,2,24,24,4.869543075561523,23.71244976474918
206.jpg,10,3.173837900161743,3.173837900161743,0.551587,0.07460386,0.17777777777777776,4,6,27,27,6.826162099838257,46.59648901326824
244.jpg,5,0.5877342820167542,0.5877342820167542,0.50955826,0.10588348,0.125,1,1,8,8,4.412265717983246,19.468088766090208
021.jpg,3,0.1492415964603424,0.1492415964603424,0.63149196,0.7370161,1.0,3,3,3,3,2.8507584035396576,8.126823475351976
082.jpg,5,0.10716374218463898,0.10716374218463898,0.46505558,0.40738878,0.3375,5,6,16,16,4.892836257815361,23.939846645792628
093.jpg,5,0.08602851629257202,0.08602851629257202,0.514228,0.57154405,0.6000000000000001,5,6,9,9,4.913971483707428,24.14711574268978
097.jpg,5,0.43102791905403137,0.43102791905403137,0.5066109,0.2801116,0.29333333333333333,4,5,15,15,4.568972080945969,20.875505876463734
271.jpg,20,9.552725791931152,9.552725791931152,0.56688935,0.012375097,0.14615384615384616,3,5,26,26,10.447274208068848,109.14553837858057
261.jpg,24,16.947261810302734,16.947261810302734,0.85153353,0.030266372,0.7333333333333334,8,10,12,12,7.052738189697266,49.74111597241426
496.jpg,13,6.8914947509765625,6.8914947509765625,0.6147531,0.03203226,0.26153846153846155,3,4,13,13,6.1085052490234375,37.31383637734689
179.jpg,2,0.7016387581825256,0.7016387581825256,0.4933246,0.21335079,0.19999999999999998,2,2,10,10,1.2983612418174744,1.6857419142538141
269.jpg,10,5.610548973083496,5.610548973083496,0.6240288,0.026942426,0.275,4,5,16,16,4.389451026916504,19.26728031769835
065.jpg,5,2.4681313037872314,2.4681313037872314,0.4997994,0.18221937,0.1818181818181818,2,2,11,11,2.5318686962127686,6.4103590948621445
031.jpg,8,1.387398600578308,1.387398600578308,0.5858468,0.112516925,0.28421052631578947,5,6,19,19,6.612601399421692,43.72649726763372
207.jpg,10,4.600126266479492,4.600126266479492,0.70539296,0.07308505,0.48387096774193544,13,18,31,31,5.399873733520508,29.158636337964708
002.jpg,4,0.35303574800491333,0.35303574800491333,0.54229546,0.4384861,0.5230769230769231,6,8,13,13,3.6469642519950867,13.300348255330082
334.jpg,8,6.123919486999512,6.123919486999512,0.6844758,0.006048465,0.375,3,3,8,8,1.8760805130004883,3.5196780912601753
515.jpg,3,2.625487804412842,2.625487804412842,0.6391737,0.029344954,0.3076923076923077,4,4,13,13,0.3745121955871582,0.14025938464351384
005.jpg,5,0.2839345932006836,0.2839345932006836,0.49480036,0.21039927,0.19999999999999998,3,3,15,15,4.716065406799316,22.2412729212092
472.jpg,38,7.904937744140625,7.904937744140625,0.50511897,0.042393655,0.05263157894736844,1,1,19,19,30.095062255859375,905.7127721840516
088.jpg,5,0.07259825617074966,0.07259825617074966,0.54742134,0.7851574,0.88,4,5,5,5,4.92740174382925,24.279287945091536
495.jpg,29,16.547836303710938,16.547836303710938,0.58872324,0.057036288,0.23448275862068965,6,8,29,29,12.452163696289062,155.0563807191793
578.jpg,8,0.6340978741645813,0.6340978741645813,0.6651975,0.16960502,0.5,4,4,8,8,7.365902125835419,54.25651412738674
124.jpg,5,0.27665507793426514,0.27665507793426514,0.46144974,0.22710052,0.15000000000000002,2,3,16,16,4.723344922065735,22.309987252804163
131.jpg,10,11.148642539978027,11.148642539978027,0.6486593,0.037816547,0.33513513513513515,12,13,37,37,1.1486425399780273,1.3193796846471741
222.jpg,1,0.06941608339548111,0.06941608339548111,0.6805674,0.30553192,0.6666666666666667,2,2,3,3,0.9305839166045189,0.8659864258430061
582.jpg,12,13.631170272827148,13.631170272827148,0.6681489,0.14791273,0.4842105263157894,8,11,19,19,1.6311702728271484,2.660716458954994
600.jpg,47,18.784461975097656,18.784461975097656,0.71565926,0.01574025,0.4470588235294118,6,10,17,17,28.215538024902344,796.11658603471
133.jpg,5,2.571991205215454,2.571991205215454,0.698587,0.047270466,0.4444444444444444,4,4,9,9,2.428008794784546,5.895226707551103
293.jpg,18,10.231082916259766,10.231082916259766,0.504772,0.049279556,0.05882352941176471,1,1,17,17,7.768917083740234,60.35607265403087
299.jpg,11,5.1051177978515625,5.1051177978515625,0.67553675,0.015593223,0.36666666666666664,4,5,12,12,5.8948822021484375,34.74963617720641
260.jpg,7,4.010436534881592,4.010436534881592,0.5638837,0.10556585,0.23333333333333334,2,4,12,12,2.989563465118408,8.937489711970784
121.jpg,4,0.29378464818000793,0.29378464818000793,0.46984404,0.3103119,0.25,3,3,12,12,3.706215351819992,13.736032234066187
443.jpg,38,30.177101135253906,30.177101135253906,0.8408693,0.012379007,0.6941176470588235,11,13,17,17,7.822898864746094,61.19774664804572
056.jpg,11,7.244290828704834,7.244290828704834,0.6148128,0.050374452,0.28,8,9,30,30,3.755709171295166,14.105351379350623
315.jpg,13,9.63630199432373,9.63630199432373,0.6131063,0.0045566107,0.23076923076923078,3,3,13,13,3.3636980056762695,11.314464273390513
525.jpg,23,16.028297424316406,16.028297424316406,0.8004239,0.035515785,0.6363636363636364,7,7,11,11,6.971702575683594,48.604636803793255
566.jpg,32,11.423683166503906,11.423683166503906,0.59207416,0.05033447,0.23448275862068965,6,8,29,29,20.576316833496094,423.3848144324147
307.jpg,12,11.699258804321289,11.699258804321289,0.66537344,0.0025864735,0.33333333333333337,4,4,12,12,0.30074119567871094,0.0904452667782607
593.jpg,8,10.446053504943848,10.446053504943848,0.535542,0.005839069,0.0769230769230769,2,2,26,26,2.4460535049438477,5.983177749048082
168.jpg,5,0.9060712456703186,0.9060712456703186,0.61692345,0.16615304,0.39999999999999997,2,4,7,7,4.093928754329681,16.760252645527377
516.jpg,20,14.096223831176758,14.096223831176758,0.5062327,0.045599177,0.05806451612903227,1,3,31,31,5.903776168823242,34.85457305156524
430.jpg,18,15.85806655883789,15.85806655883789,0.6509681,0.036952794,0.3388888888888889,11,14,36,36,2.1419334411621094,4.5878788663685555
234.jpg,1,13.592860221862793,13.592860221862793,0.529761,0.002977982,0.0625,1,1,16,16,12.592860221862793,158.58012856737423
390.jpg,117,45.97987747192383,45.97987747192383,0.9426118,0.018480126,0.9037037037037037,24,25,27,27,71.02012252807617,5043.857803902953
504.jpg,5,0.151773139834404,0.151773139834404,0.4514315,0.3828513,0.2857142857142857,2,2,7,7,4.848226860165596,23.505303687631155
066.jpg,5,3.6129472255706787,3.6129472255706787,0.58082247,0.060577355,0.2222222222222222,4,4,18,18,1.3870527744293213,1.9239153990520776
092.jpg,5,0.18773017823696136,0.18773017823696136,0.5707716,0.27512348,0.41666666666666663,5,5,12,12,4.812269821763039,23.157940837451267
276.jpg,7,2.303175926208496,2.303175926208496,0.544651,0.19069804,0.28,7,7,25,25,4.696824073791504,22.06015638014742
130.jpg,3,1.1569592952728271,1.1569592952728271,0.44033748,0.306825,0.1875,3,3,16,16,1.8430407047271729,3.396799039281234
342.jpg,18,24.523014068603516,24.523014068603516,0.84167707,0.010763491,0.6941176470588235,11,13,17,17,6.523014068603516,42.54971253919939
596.jpg,51,33.805030822753906,33.805030822753906,0.8362094,0.007581224,0.6799999999999999,17,17,25,25,17.194969177246094,295.6669650064432
256.jpg,19,9.97706127166748,9.97706127166748,0.70691705,0.026165895,0.44,8,10,20,20,9.02293872833252,81.41342329524286
011.jpg,4,0.31906256079673767,0.31906256079673767,0.7909029,0.41819417,1.0,2,2,2,2,3.6809374392032623,13.549300431328271
181.jpg,20,16.36673927307129,16.36673927307129,0.58675736,0.037011594,0.21052631578947367,8,8,38,38,3.633260726928711,13.200583509842545
573.jpg,12,8.428045272827148,8.428045272827148,0.6458856,0.09770246,0.3894736842105263,7,8,19,19,3.5719547271728516,12.75886057297248
319.jpg,38,26.897178649902344,26.897178649902344,0.7000984,0.02305898,0.4232558139534884,17,20,43,43,11.102821350097656,123.27264193218434
255.jpg,19,12.694290161132812,12.694290161132812,0.64961386,0.006654634,0.3058823529411765,4,7,17,17,6.3057098388671875,39.76197657198645
184.jpg,6,0.8477702736854553,0.8477702736854553,0.5572189,0.18556225,0.30000000000000004,2,3,8,8,5.152229726314545,26.545471152719248
278.jpg,6,0.7031137943267822,0.7031137943267822,0.50773907,0.6845218,0.7,1,2,2,2,5.296886205673218,28.057003475851218
100.jpg,4,0.9438695311546326,0.9438695311546326,0.50058585,0.1654949,0.16666666666666663,1,1,6,6,3.0561304688453674,9.339933442605005
591.jpg,5,0.5307981371879578,0.5307981371879578,0.51267266,0.1175119,0.14285714285714285,1,1,7,7,4.469201862812042,19.97376529056263
027.jpg,8,10.010268211364746,10.010268211364746,0.5768577,0.03517347,0.18888888888888888,3,4,18,18,2.010268211364746,4.0411782816236155
524.jpg,20,22.811922073364258,22.811922073364258,0.70581245,0.066635914,0.4782608695652174,11,11,23,23,2.811922073364258,7.9069057466731465
415.jpg,15,1.7852861881256104,1.7852861881256104,0.63826287,0.080617085,0.3571428571428571,5,5,14,14,13.21471381187439,174.62866112974376
427.jpg,15,21.101627349853516,21.101627349853516,0.48336944,0.102226615,0.06896551724137932,2,2,29,29,6.101627349853516,37.229856316480436
257.jpg,3,0.13898584246635437,0.13898584246635437,0.37794006,0.3441199,0.09999999999999999,1,1,10,10,2.8610141575336456,8.185402009607955
193.jpg,6,2.908752202987671,2.908752202987671,0.5276335,0.052425336,0.1076923076923077,2,4,26,26,3.091247797012329,9.555812942533578
